Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604346635706,2020-11-02,19:50:35.706,14439,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604346640659,2020-11-02,19:50:40.659,14444,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604346650657,2020-11-02,19:50:50.657,14454,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604346657686,2020-11-02,19:50:57.686,14461,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604346659733,2020-11-02,19:50:59.733,14463,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604346660733,2020-11-02,19:51:00.733,14464,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604346662685,2020-11-02,19:51:02.685,14466,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604346671693,2020-11-02,19:51:11.693,14475,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604346689658,2020-11-02,19:51:29.658,14493,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604351352681,2020-11-02,21:09:12.681,19156,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604351355697,2020-11-02,21:09:15.697,19159,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604351366669,2020-11-02,21:09:26.669,19170,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604351392657,2020-11-02,21:09:52.657,19196,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604354988699,2020-11-02,22:09:48.699,22792,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604355012664,2020-11-02,22:10:12.664,22816,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604355028700,2020-11-02,22:10:28.700,22832,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604355042698,2020-11-02,22:10:42.698,22846,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604355050682,2020-11-02,22:10:50.682,22854,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604355051698,2020-11-02,22:10:51.698,22855,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604355122709,2020-11-02,22:12:02.709,22926,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604355157695,2020-11-02,22:12:37.695,22961,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604355199714,2020-11-02,22:13:19.714,23003,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604355201729,2020-11-02,22:13:21.729,23005,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604359832666,2020-11-02,23:30:32.666,27636,Disconnection ventilator,Disconnection ventilator,,30,DISCONNECT  ,Unknown,Active
1604359835697,2020-11-02,23:30:35.697,27639,Tube obstructed,Tube obstructed,,30,TUBE OBSTRUC,Unknown,Active
1604359843669,2020-11-02,23:30:43.669,27647,Airway pressure > high limit,Airway pressure > high limit,,30,PAW HIGH    ,Unknown,Active
1604359843669,2020-11-02,23:30:43.669,27647,Disconnection ventilator,Disconnection ventilator,30,-1,,Active,NotActive
1604359843685,2020-11-02,23:30:43.685,27647,Tube obstructed,Tube obstructed,30,-1,,Active,NotActive
1604359844653,2020-11-02,23:30:44.653,27648,Airway pressure > high limit,Airway pressure > high limit,30,-1,,Active,NotActive
1604359854658,2020-11-02,23:30:54.658,27658,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604359856673,2020-11-02,23:30:56.673,27660,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604368013714,2020-11-03,01:46:53.714,35817,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368014685,2020-11-03,01:46:54.685,35818,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368062670,2020-11-03,01:47:42.670,35866,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368066685,2020-11-03,01:47:46.685,35870,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368074684,2020-11-03,01:47:54.684,35878,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368077684,2020-11-03,01:47:57.684,35881,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604368088698,2020-11-03,01:48:08.698,35892,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604368091682,2020-11-03,01:48:11.682,35895,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
