Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1604669239686,2020-11-06,13:27:19.686,0,MVe_HL,MVe_HL,L/min,,0.3100
1604669239686,2020-11-06,13:27:19.686,0,PIP_HL,PIP_HL,mbar,,45.0000
1604669239686,2020-11-06,13:27:19.686,0,RR_HL,RR_HL,1/min,,78.0000
1604669239686,2020-11-06,13:27:19.686,0,etCO2_HL,etCO2_HL,%,,7.9000
1604669239686,2020-11-06,13:27:19.686,0,etCO2_HL,etCO2_HL,kPa,,8.0000
1604669239686,2020-11-06,13:27:19.686,0,etCO2_HL,etCO2_HL,mmHg,,60.0000
1604669239717,2020-11-06,13:27:19.717,0,MVe_LL,MVe_LL,L/min,,0.1100
1604669239717,2020-11-06,13:27:19.717,0,etCO2_LL,etCO2_LL,%,,3.9000
1604669239717,2020-11-06,13:27:19.717,0,etCO2_LL,etCO2_LL,kPa,,4.0000
1604669239717,2020-11-06,13:27:19.717,0,etCO2_LL,etCO2_LL,mmHg,,30.0000
1604711967726,2020-11-07,01:19:27.726,42728,MVe_LL,MVe_LL,L/min,0.1100,0.0700
1604711971709,2020-11-07,01:19:31.709,42732,MVe_LL,MVe_LL,L/min,0.0700,0.0800
1604711980692,2020-11-07,01:19:40.692,42741,MVe_HL,MVe_HL,L/min,0.3100,0.3800
