Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1604669240514,2020-11-06,13:27:20.514,0,FiO2,FiO2,%,,26.0000
1604669240514,2020-11-06,13:27:20.514,0,VTi,VTi,L,,0.0040
1604669240514,2020-11-06,13:27:20.514,0,Ti,Ti,s,,0.3300
1604669240514,2020-11-06,13:27:20.514,0,Te,Te,s,,0.6700
1604669240514,2020-11-06,13:27:20.514,0,I (I:E),I (I:E),no unit,,1.0000
1604669240514,2020-11-06,13:27:20.514,0,E (I:E),E (I:E),no unit,,2.0000
1604669240514,2020-11-06,13:27:20.514,0,RR,RR,1/min,,60.0000
1604669240514,2020-11-06,13:27:20.514,0,PEEP,PEEP,mbar,,6.0000
1604669240514,2020-11-06,13:27:20.514,0,Pmax,Pmax,mbar,,40.0000
1604669240514,2020-11-06,13:27:20.514,0,MVhigh delay,MVhigh delay,s,,10.0000
1604669240514,2020-11-06,13:27:20.514,0,MVlow delay,MVlow delay,s,,10.0000
1604669240514,2020-11-06,13:27:20.514,0,Flow trigger,Flow trigger,L/min,,0.2000
1604669240514,2020-11-06,13:27:20.514,0,Slope,Slope,s,,0.0800
1604669240514,2020-11-06,13:27:20.514,0,VTi,VTi,mL,,3.5000
1604669240514,2020-11-06,13:27:20.514,0,Ø tube,Ø tube,mm,,2.5000
1604669818543,2020-11-06,13:36:58.543,578,FiO2,FiO2,%,26.0000,33.0000
1604669833494,2020-11-06,13:37:13.494,593,FiO2,FiO2,%,33.0000,36.0000
1604675264488,2020-11-06,15:07:44.488,6024,FiO2,FiO2,%,36.0000,38.0000
1604675270503,2020-11-06,15:07:50.503,6030,FiO2,FiO2,%,38.0000,41.0000
1604675281517,2020-11-06,15:08:01.517,6041,FiO2,FiO2,%,41.0000,45.0000
1604675311521,2020-11-06,15:08:31.521,6071,FiO2,FiO2,%,45.0000,50.0000
1604675671502,2020-11-06,15:14:31.502,6431,FiO2,FiO2,%,50.0000,40.0000
1604676881506,2020-11-06,15:34:41.506,7641,FiO2,FiO2,%,40.0000,33.0000
1604680028498,2020-11-06,16:27:08.498,10788,FiO2,FiO2,%,33.0000,30.0000
1604683623509,2020-11-06,17:27:03.509,14383,FiO2,FiO2,%,30.0000,26.0000
1604683872503,2020-11-06,17:31:12.503,14632,FiO2,FiO2,%,26.0000,28.0000
1604710314532,2020-11-07,00:51:54.532,41074,FiO2,FiO2,%,28.0000,30.0000
1604712615496,2020-11-07,01:30:15.496,43375,FiO2,FiO2,%,30.0000,28.0000
1604715274483,2020-11-07,02:14:34.483,46034,FiO2,FiO2,%,28.0000,25.0000
1604716197516,2020-11-07,02:29:57.516,46957,FiO2,FiO2,%,25.0000,28.0000
1604717378499,2020-11-07,02:49:38.499,48138,FiO2,FiO2,%,28.0000,27.0000
1604725973519,2020-11-07,05:12:53.519,56733,FiO2,FiO2,%,27.0000,25.0000
1604727467493,2020-11-07,05:37:47.493,58227,FiO2,FiO2,%,25.0000,26.0000
1604733290512,2020-11-07,07:14:50.512,64050,FiO2,FiO2,%,26.0000,32.0000
1604734712509,2020-11-07,07:38:32.509,65472,FiO2,FiO2,%,32.0000,30.0000
1604741149502,2020-11-07,09:25:49.502,71909,FiO2,FiO2,%,30.0000,35.0000
1604742822492,2020-11-07,09:53:42.492,73582,FiO2,FiO2,%,35.0000,30.0000
1604742897490,2020-11-07,09:54:57.490,73657,VTi,VTi,L,0.0040,0.0030
1604742897490,2020-11-07,09:54:57.490,73657,VTi,VTi,mL,3.5000,3.1000
1604743382552,2020-11-07,10:03:02.552,74142,FiO2,FiO2,%,30.0000,35.0000
1604745585500,2020-11-07,10:39:45.500,76345,FiO2,FiO2,%,35.0000,40.0000
1604757175509,2020-11-07,13:52:55.509,87935,FiO2,FiO2,%,40.0000,50.0000
1604757184508,2020-11-07,13:53:04.508,87944,FiO2,FiO2,%,50.0000,55.0000
1604757944535,2020-11-07,14:05:44.535,88704,FiO2,FiO2,%,55.0000,40.0000
1604758559514,2020-11-07,14:15:59.514,89319,FiO2,FiO2,%,40.0000,35.0000
1604759209535,2020-11-07,14:26:49.535,89969,FiO2,FiO2,%,35.0000,32.0000
1604766597485,2020-11-07,16:29:57.485,97357,FiO2,FiO2,%,32.0000,25.0000
1604768257484,2020-11-07,16:57:37.484,99017,FiO2,FiO2,%,25.0000,30.0000
